2456;1422;1;53.1
2500;1419;2;53.3
2550;1416;2;53.5
2600;1412;2;53.4
2650;1408;2;53.3
2700;1404;2;53.2
2750;1400;2;53.1
2800;1396;2;53.0
2850;1393;2;53.2
2900;1389;2;53.1
2950;1385;2;53.0
3000;1381;2;53.0
3050;1377;2;52.9
3100;1373;2;52.8
3150;1369;2;52.8
3200;1365;2;52.7
3250;1361;2;52.7
3300;1357;2;52.6
3350;1353;2;52.6
3400;1349;2;52.5
3450;1345;2;52.5
3500;1341;3;52.4
3550;1337;3;52.4
3600;1333;3;52.3
3650;1329;3;52.3
3700;1325;3;52.3
3750;1321;3;52.2
3800;1316;3;52.0
3850;1312;3;52.0
3900;1308;3;52.0
3950;1304;3;51.9
4000;1300;3;51.9
4050;1295;3;51.7
4100;1291;3;51.7
4150;1287;3;51.7
4200;1282;4;51.5
4250;1278;4;51.5
4300;1274;4;51.5
4350;1269;4;51.3
4400;1265;4;51.3
4450;1260;4;51.2
4500;1256;4;51.2
4550;1251;4;51.0
4600;1246;4;50.9
4650;1242;4;50.9
4700;1237;4;50.8
4750;1232;4;50.6
4800;1228;4;50.6
4850;1223;4;50.5
4900;1218;4;50.4
4950;1213;4;50.3
5000;1208;4;50.2
5050;1203;5;50.1
5100;1198;5;50.0
5150;1193;5;49.9
5200;1188;5;49.8
5250;1183;5;49.7
5300;1178;6;49.6
5350;1173;6;49.5
5400;1167;6;49.3
5450;1162;6;49.3
5500;1156;6;49.1
5550;1151;6;49.0
5600;1145;6;48.8
5650;1139;6;48.7
5700;1134;7;48.6
5750;1128;7;48.5
5800;1122;7;48.3
5850;1116;8;48.2
5900;1110;8;48.0
5950;1103;8;47.8
6000;1097;8;47.7
6050;1090;8;47.5
6100;1084;9;47.4
6150;1077;9;47.2
6200;1070;9;47.0
6250;1063;10;46.8
6300;1056;11;46.6
6350;1048;11;46.4
6400;1041;12;46.2
6450;1033;12;46.0
6500;1025;13;45.8
6550;1016;13;45.5
6600;1007;14;45.2
6650;998;15;45.0
6700;989;17;44.7
6750;978;17;44.3
6800;968;20;44.1
6850;956;21;43.7
6900;944;24;43.3
6950;931;28;42.9
7000;916;35;42.4
7050;899;48;41.8
7100;879;0.0;41.1
7150;850;0.0;40.1
7188;800;0.0;38.3
