838;1421;4;31
850;1419;5;31.1
900;1408;5;31
950;1396;5;30.9
1000;1385;5;30.8
1050;1373;5;30.7
1100;1362;6;30.7
1150;1350;6;30.6
1200;1338;7;30.5
1250;1326;7;30.4
1300;1314;8;30.3
1350;1302;9;30.3
1400;1289;9;30.1
1450;1276;10;30
1500;1263;10;29.8
1550;1250;11;29.7
1600;1236;12;29.6
1650;1222;13;29.4
1700;1208;14;29.3
1750;1193;15;29.1
1800;1178;16;28.9
1850;1162;17;28.7
1900;1146;19;28.5
1950;1129;21;28.2
2000;1112;23;28
2050;1093;26;27.7
2100;1073;29;27.4
2150;1052;34;27.1
2200;1029;40;26.7
2250;1003;49;26.3
2300;975;70;25.8
2350;940;0.0;25.2
2400;895;0.0;24.3
2444;800;0.0;22.3
